,after2014,after2014_log_prob,before2014,before2014_log_prob
0,impact,-1.148209229807482,lot,-1.3217558399823193
1,fast,-1.1653036631667826,perk,-1.4087672169719494
2,smart,-1.1653036631667826,team,-1.4087672169719494
3,perk,-1.2554547601610797,benefit,-1.4793847841859025
4,food,-1.293921040988876,smart,-1.5040773967762742
5,awesome,-1.3339263756025752,food,-1.5293952047605641
6,thing,-1.3545456628053105,life,-1.5293952047605641
7,engineer,-1.3755990720031432,grow,-1.582038938245986
