,after2014,after2014_log_prob,before2014,before2014_log_prob
0,rank,-2.275186119,hour,-2.502606227
1,performance,-2.316571335,customer,-2.538973871
2,competitive,-2.359743507,role,-2.63613762
3,stack,-2.38959647,project,-2.656756907
4,make,-2.420368129,think,-2.677810316
5,market,-2.468377348,support,-2.699316521
6,excellent,-2.501713768,high,-2.721295428
7,different,-2.518808201,large,-2.721295428
